,Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
159,Product Data Scientist,"$124,350 /yr (est.)",3.6,"PayPal
3.6","New York, NY",501 to 1000 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Information Technology
160,"Data Scientist, Analytics","$99,000 /yr (est.)",3.3,"Overstock.com Inc.
3.3","Midvale, UT",1001 to 5000 Employees,1999,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,Retail & Wholesale
161,Data Scientist,"$91,500 /yr (est.)",4.3,"The Rector & Visitors of the University of Virginia
4.3","Charlottesville, VA",10000+ Employees,1819,College / University,Colleges & Universities,Education,Education
162,Associate Scientist - Data Analytics,"$135,500 /yr (est.)",4.2,"SLAC National Accelerator Laboratory
4.2","Menlo Park, CA",1001 to 5000 Employees,1962,Government,National Agencies,Government & Public Administration,Government & Public Administration
163,Data Scientist,"$106,869 /yr (est.)",4.2,"Hyperspace Ventures
4.2","Durham, NC",1 to 50 Employees,2017,Company - Private,Internet & Web Services,Information Technology,Information Technology
164,Data Scientist,"$109,987 /yr (est.)",3.2,"ACI Federal Inc
3.2","Bethesda, MD",501 to 1000 Employees,2014,Company - Private,National Agencies,Government & Public Administration,Government & Public Administration
165,Data Scientist,$33.25 /hr (est.),3.9,"Parsons
3.9",Remote,10000+ Employees,1944,Company - Public,Information Technology Support Services,Information Technology,Information Technology
166,Data Scientist (Machine Learning),-1,-1,Decision Spot,"Chicago, IL",-1,-1,-1,-1,-1,-1
167,Data Scientist,$45.00 /hr (est.),5.0,"Aurora Technical Systems, LLC",Remote,1 to 50 Employees,-1,Company - Private,-1,-1,-1
168,Data Scientist,"$124,500 /yr (est.)",3.9,"Charles Schwab
3.9","San Francisco, CA",10000+ Employees,1973,Company - Public,Investment & Asset Management,Financial Services,Financial Services
169,"Staff Data Scientist, New Initiatives",-1,4.5,"Dropbox
4.5",Remote,1001 to 5000 Employees,2007,Company - Private,Computer Hardware Development,Information Technology,Information Technology
170,Data Scientist,"$101,105 /yr (est.)",3.9,"eimagine
3.9","Indianapolis, IN",1 to 50 Employees,1998,Company - Private,Information Technology Support Services,Information Technology,Information Technology
171,Data Scientist - All Levels,"$101,563 /yr (est.)",-1,Silver Edge,"Chantilly, VA",201 to 500 Employees,-1,Company - Private,-1,-1,-1
172,Junior Data Scientist,-1,-1,ANALYTOS,"Austin, TX",-1,-1,-1,-1,-1,-1
173,Data Scientist,"$112,380 /yr (est.)",4.2,"Red Bull North America
4.2","Santa Monica, CA",10000+ Employees,1987,Company - Private,Food & Beverage Manufacturing,Manufacturing,Manufacturing
174,Data Scientist,"$90,000 /yr (est.)",2.6,"Galaxy Technologies
2.6","Phoenix, AZ",51 to 200 Employees,1985,Company - Private,Consumer Product Manufacturing,Manufacturing,Manufacturing
175,Data Scientist,-1,-1,Data Xpander,"Irving, TX",-1,-1,-1,-1,-1,-1
176,Data Scientist,"$81,176 /yr (est.)",3.5,"Trajector
3.5","Gainesville, FL",1001 to 5000 Employees,2014,Self-employed,Research & Development,Management & Consulting,Management & Consulting
177,Data Scientist,"$130,623 /yr (est.)",3.7,"National Security Agency
3.7","Fort Meade, MD",Unknown,1962,Government,National Agencies,Government & Public Administration,Government & Public Administration
178,Data Scientist,"$110,603 /yr (est.)",2.2,"Source Enterprises
2.2","New York, NY",51 to 200 Employees,-1,Company - Private,Publishing,Media & Communication,Media & Communication
179,Associate Data Scientist,"$94,243 /yr (est.)",3.2,"WALGREENS
3.2","Deerfield, IL",10000+ Employees,1901,Company - Public,Drug & Health Stores,Retail & Wholesale,Retail & Wholesale
180,AI Model Training: Seeking STEM topic experts for AI Projects (US),$42.50 /hr (est.),3.7,"Appen
3.7",Remote,501 to 1000 Employees,1996,Company - Public,Business Consulting,Management & Consulting,Management & Consulting
181,Junior Data Scientist,"$90,000 /yr (est.)",3.2,"Club Quarters
3.2","Stamford, CT",501 to 1000 Employees,-1,Company - Private,Hotels & Resorts,Hotels & Travel Accommodation,Hotels & Travel Accommodation
182,Associate Data Scientist,"$93,000 /yr (est.)",3.8,"Mutual of Omaha
3.8",Remote,5001 to 10000 Employees,1909,Company - Private,Insurance Carriers,Insurance,Insurance
183,Jr Data Scientist,"$89,745 /yr (est.)",3.9,"Veracity Software
3.9","Iselin, NJ",51 to 200 Employees,2010,Company - Private,Information Technology Support Services,Information Technology,Information Technology
184,Associate Data Scientist,"$87,200 /yr (est.)",3.9,"Northwell Health
3.9","Manhasset, NY",10000+ Employees,1997,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,Healthcare
185,Data Scientist III,"$171,067 /yr (est.)",3.9,"Uber Freight
3.9","San Francisco, CA",10000+ Employees,2009,Company - Public,Internet & Web Services,Information Technology,Information Technology
186,Analyst - Data Science,"$80,000 /yr (est.)",4.2,"Amex
4.2","New York, NY",10000+ Employees,1850,Company - Public,Financial Transaction Processing,Financial Services,Financial Services
187,Data Scientist I,"$105,000 /yr (est.)",3.1,"Burlington Stores
3.1","Edgewater Park, NJ",10000+ Employees,1972,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,Retail & Wholesale
188,"Data Scientist, NLP","$150,954 /yr (est.)",3.6,"Fetch
3.6","Madison, WI",501 to 1000 Employees,2013,Company - Private,Computer Hardware Development,Information Technology,Information Technology
189,DATA SCIENTIST,"$110,383 /yr (est.)",3.2,"Durham County
3.2","Durham, NC",51 to 200 Employees,-1,Government,Municipal Agencies,Government & Public Administration,Government & Public Administration
190,DATA SCIENTIST I,"$89,700 /yr (est.)",3.3,"UNFI
3.3","Providence, RI",10000+ Employees,1978,Company - Public,Wholesale,Retail & Wholesale,Retail & Wholesale
191,"Senior Data Scientist, New Initiatives",-1,4.5,"Dropbox
4.5",Remote,1001 to 5000 Employees,2007,Company - Private,Computer Hardware Development,Information Technology,Information Technology
192,Data Scientist,-1,3.8,"Revecore
3.8",Remote,Unknown,-1,Company - Public,Business Consulting,Management & Consulting,Management & Consulting
193,"Data Scientist, Product Analytics","$164,000 /yr (est.)",3.9,"Meta
3.9","Austin, TX",10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology,Information Technology
194,Sports Data Scientist,"$140,000 /yr (est.)",5.0,"Swish Analytics
5.0",Remote,1 to 50 Employees,2014,Company - Private,Gambling,"Arts, Entertainment & Recreation","Arts, Entertainment & Recreation"
195,Principle Data Scientist,-1,3.8,"SunPower
3.8",Remote,5001 to 10000 Employees,1985,Company - Public,Energy & Utilities,"Energy, Mining & Utilities","Energy, Mining & Utilities"
196,"Data Scientist, Level 1","$77,500 /yr (est.)",-1,Massachusetts Materials Technologies (MMT),"Natick, MA",-1,-1,-1,-1,-1,-1
197,Data Scientist,$38.80 /hr (est.),3.9,"UCLA Health
3.9","Los Angeles, CA",5001 to 10000 Employees,1919,Company - Public,Health Care Services & Hospitals,Healthcare,Healthcare
198,Data Scientist 1 Remote,"$84,739 /yr (est.)",3.8,"Baylor Scott & White Health
3.8",Remote,10000+ Employees,1903,Company - Private,Health Care Services & Hospitals,Healthcare,Healthcare
199,Associate Data Scientist,-1,4.0,"Amadeus
4.0",United States,10000+ Employees,1987,Company - Public,Information Technology Support Services,Information Technology,Information Technology
200,Data Scientist,"$101,116 /yr (est.)",4.6,"Measures for Justice
4.6","Rochester, NY",1 to 50 Employees,2011,Nonprofit Organization,Civic & Social Services,Nonprofit & NGO,Nonprofit & NGO
201,Data Scientist I - Hybrid,"$94,120 /yr (est.)",4.2,"Radian
4.2","New York, NY",1001 to 5000 Employees,1977,Company - Public,Insurance Carriers,Insurance,Insurance
202,Data Scientist,"$175,000 /yr (est.)",4.3,"Neuberger Berman
4.3","New York, NY",1001 to 5000 Employees,1939,Company - Public,Investment & Asset Management,Financial Services,Financial Services
203,Working Student - Data Scientist (m/f/d),-1,4.2,"Mutares SE & Co. KGaA
4.2",Remote,1001 to 5000 Employees,2008,Unknown,Investment & Asset Management,Financial Services,Financial Services
204,Data Collection Projects,-1,4.5,"Argos Multilingual
4.5",Remote,201 to 500 Employees,-1,Company - Private,Business Consulting,Management & Consulting,Management & Consulting
205,Biological Data Scientist,"$103,335 /yr (est.)",4.0,"University of California San Francisco
4.0","San Francisco, CA",10000+ Employees,1864,College / University,Colleges & Universities,Education,Education
206,Data Scientist,-1,4.1,"Cresta
4.1",Remote,51 to 200 Employees,2017,Company - Private,Computer Hardware Development,Information Technology,Information Technology
207,Genomics Data Scientist,"$112,500 /yr (est.)",3.1,"Avellino Lab USA Inc
3.1",Remote,51 to 200 Employees,2012,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Pharmaceutical & Biotechnology
208,"Data Scientist(RNAseq,Genomics,Omnics,Machine Learning,data analysis)",$51.50 /hr (est.),3.7,"Tellus Solutions
3.7",Remote,51 to 200 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,Information Technology
209,USARPAC Data Scientist (Data Scientist 1)- 15568,"$95,507 /yr (est.)",3.6,"HII
3.6","Fort Shafter, HI",10000+ Employees,2011,Company - Public,Aerospace & Defense,Aerospace & Defense,Aerospace & Defense
210,Junior Data Scientist,"$90,000 /yr (est.)",3.2,"Club Quarters
3.2","Stamford, CT",501 to 1000 Employees,-1,Company - Private,Hotels & Resorts,Hotels & Travel Accommodation,Hotels & Travel Accommodation
211,Associate Data Scientist,"$93,000 /yr (est.)",3.8,"Mutual of Omaha
3.8",Remote,5001 to 10000 Employees,1909,Company - Private,Insurance Carriers,Insurance,Insurance
212,Jr Data Scientist,"$89,745 /yr (est.)",3.9,"Veracity Software
3.9","Iselin, NJ",51 to 200 Employees,2010,Company - Private,Information Technology Support Services,Information Technology,Information Technology
213,AI Model Training: Seeking STEM topic experts for AI Projects (US),$42.50 /hr (est.),3.7,"Appen
3.7",Remote,501 to 1000 Employees,1996,Company - Public,Business Consulting,Management & Consulting,Management & Consulting
214,Data Scientist I,"$105,000 /yr (est.)",3.1,"Burlington Stores
3.1","Edgewater Park, NJ",10000+ Employees,1972,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,Retail & Wholesale
215,Associate Data Scientist,"$87,200 /yr (est.)",3.9,"Northwell Health
3.9","Manhasset, NY",10000+ Employees,1997,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,Healthcare
216,Data Scientist III,"$171,067 /yr (est.)",3.9,"Uber Freight
3.9","San Francisco, CA",10000+ Employees,2009,Company - Public,Internet & Web Services,Information Technology,Information Technology
217,DATA SCIENTIST I,"$89,700 /yr (est.)",3.3,"UNFI
3.3","Providence, RI",10000+ Employees,1978,Company - Public,Wholesale,Retail & Wholesale,Retail & Wholesale
218,"Data Scientist, NLP","$150,954 /yr (est.)",3.6,"Fetch
3.6","Madison, WI",501 to 1000 Employees,2013,Company - Private,Computer Hardware Development,Information Technology,Information Technology
219,Analyst - Data Science,"$80,000 /yr (est.)",4.2,"Amex
4.2","New York, NY",10000+ Employees,1850,Company - Public,Financial Transaction Processing,Financial Services,Financial Services
220,"Data Scientist, Product Analytics","$164,000 /yr (est.)",3.9,"Meta
3.9","Austin, TX",10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology,Information Technology
221,Principle Data Scientist,-1,3.8,"SunPower
3.8",Remote,5001 to 10000 Employees,1985,Company - Public,Energy & Utilities,"Energy, Mining & Utilities","Energy, Mining & Utilities"
222,Sports Data Scientist,"$140,000 /yr (est.)",5.0,"Swish Analytics
5.0",Remote,1 to 50 Employees,2014,Company - Private,Gambling,"Arts, Entertainment & Recreation","Arts, Entertainment & Recreation"
223,Data Scientist,-1,3.8,"Revecore
3.8",Remote,Unknown,-1,Company - Public,Business Consulting,Management & Consulting,Management & Consulting
224,DATA SCIENTIST,"$110,383 /yr (est.)",3.2,"Durham County
3.2","Durham, NC",51 to 200 Employees,-1,Government,Municipal Agencies,Government & Public Administration,Government & Public Administration
225,"Senior Data Scientist, New Initiatives",-1,4.5,"Dropbox
4.5",Remote,1001 to 5000 Employees,2007,Company - Private,Computer Hardware Development,Information Technology,Information Technology
226,"Data Scientist, Level 1","$77,500 /yr (est.)",-1,Massachusetts Materials Technologies (MMT),"Natick, MA",-1,-1,-1,-1,-1,-1
227,Associate Data Scientist,-1,4.0,"Amadeus
4.0",United States,10000+ Employees,1987,Company - Public,Information Technology Support Services,Information Technology,Information Technology
228,"Data Scientist(RNAseq,Genomics,Omnics,Machine Learning,data analysis)",$51.50 /hr (est.),3.7,"Tellus Solutions
3.7",Remote,51 to 200 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,Information Technology
229,Data Scientist,"$101,116 /yr (est.)",4.6,"Measures for Justice
4.6","Rochester, NY",1 to 50 Employees,2011,Nonprofit Organization,Civic & Social Services,Nonprofit & NGO,Nonprofit & NGO
230,Data Scientist 1 Remote,"$84,739 /yr (est.)",3.8,"Baylor Scott & White Health
3.8",Remote,10000+ Employees,1903,Company - Private,Health Care Services & Hospitals,Healthcare,Healthcare
231,Data Scientist,$38.80 /hr (est.),3.9,"UCLA Health
3.9","Los Angeles, CA",5001 to 10000 Employees,1919,Company - Public,Health Care Services & Hospitals,Healthcare,Healthcare
232,USARPAC Data Scientist (Data Scientist 1)- 15568,"$95,507 /yr (est.)",3.6,"HII
3.6","Fort Shafter, HI",10000+ Employees,2011,Company - Public,Aerospace & Defense,Aerospace & Defense,Aerospace & Defense
233,Data Scientist I - Hybrid,"$94,120 /yr (est.)",4.2,"Radian
4.2","New York, NY",1001 to 5000 Employees,1977,Company - Public,Insurance Carriers,Insurance,Insurance
234,Data Collection Projects,-1,4.5,"Argos Multilingual
4.5",Remote,201 to 500 Employees,-1,Company - Private,Business Consulting,Management & Consulting,Management & Consulting
235,Working Student - Data Scientist (m/f/d),-1,4.2,"Mutares SE & Co. KGaA
4.2",Remote,1001 to 5000 Employees,2008,Unknown,Investment & Asset Management,Financial Services,Financial Services
236,"Staff Data Scientist, New Initiatives",-1,4.5,"Dropbox
4.5",Remote,1001 to 5000 Employees,2007,Company - Private,Computer Hardware Development,Information Technology,Information Technology
237,Genomics Data Scientist,"$112,500 /yr (est.)",3.1,"Avellino Lab USA Inc
3.1",Remote,51 to 200 Employees,2012,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Pharmaceutical & Biotechnology
238,Data Scientist,"$105,000 /yr (est.)",3.8,"Ascend Analytics, LLC
3.8","Boulder, CO",51 to 200 Employees,2003,Company - Private,Computer Hardware Development,Information Technology,Information Technology
239,Data Scientist,"$175,000 /yr (est.)",4.3,"Neuberger Berman
4.3","New York, NY",1001 to 5000 Employees,1939,Company - Public,Investment & Asset Management,Financial Services,Financial Services
240,Associate Data Scientist,"$93,000 /yr (est.)",3.8,"Mutual of Omaha
3.8",Remote,5001 to 10000 Employees,1909,Company - Private,Insurance Carriers,Insurance,Insurance
241,Junior Data Scientist,"$90,000 /yr (est.)",3.2,"Club Quarters
3.2","Stamford, CT",501 to 1000 Employees,-1,Company - Private,Hotels & Resorts,Hotels & Travel Accommodation,Hotels & Travel Accommodation
242,Jr Data Scientist,"$89,745 /yr (est.)",3.9,"Veracity Software
3.9","Iselin, NJ",51 to 200 Employees,2010,Company - Private,Information Technology Support Services,Information Technology,Information Technology
243,AI Model Training: Seeking STEM topic experts for AI Projects (US),$42.50 /hr (est.),3.7,"Appen
3.7",Remote,501 to 1000 Employees,1996,Company - Public,Business Consulting,Management & Consulting,Management & Consulting
244,Data Scientist I,"$105,000 /yr (est.)",3.1,"Burlington Stores
3.1","Edgewater Park, NJ",10000+ Employees,1972,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,Retail & Wholesale
245,Associate Data Scientist,"$87,200 /yr (est.)",3.9,"Northwell Health
3.9","Manhasset, NY",10000+ Employees,1997,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,Healthcare
246,"Data Scientist, Product Analytics","$164,000 /yr (est.)",3.9,"Meta
3.9","Austin, TX",10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology,Information Technology
247,Analyst - Data Science,"$80,000 /yr (est.)",4.2,"Amex
4.2","New York, NY",10000+ Employees,1850,Company - Public,Financial Transaction Processing,Financial Services,Financial Services
248,Data Scientist III,"$171,067 /yr (est.)",3.9,"Uber Freight
3.9","San Francisco, CA",10000+ Employees,2009,Company - Public,Internet & Web Services,Information Technology,Information Technology
249,DATA SCIENTIST I,"$89,700 /yr (est.)",3.3,"UNFI
3.3","Providence, RI",10000+ Employees,1978,Company - Public,Wholesale,Retail & Wholesale,Retail & Wholesale
250,DATA SCIENTIST,"$110,383 /yr (est.)",3.2,"Durham County
3.2","Durham, NC",51 to 200 Employees,-1,Government,Municipal Agencies,Government & Public Administration,Government & Public Administration
251,Associate Data Scientist,-1,4.0,"Amadeus
4.0",United States,10000+ Employees,1987,Company - Public,Information Technology Support Services,Information Technology,Information Technology
252,"Senior Data Scientist, New Initiatives",-1,4.5,"Dropbox
4.5",Remote,1001 to 5000 Employees,2007,Company - Private,Computer Hardware Development,Information Technology,Information Technology
253,Data Scientist,"$101,116 /yr (est.)",4.6,"Measures for Justice
4.6","Rochester, NY",1 to 50 Employees,2011,Nonprofit Organization,Civic & Social Services,Nonprofit & NGO,Nonprofit & NGO
254,Data Scientist 1 Remote,"$84,739 /yr (est.)",3.8,"Baylor Scott & White Health
3.8",Remote,10000+ Employees,1903,Company - Private,Health Care Services & Hospitals,Healthcare,Healthcare
255,Data Scientist I - Hybrid,"$94,120 /yr (est.)",4.2,"Radian
4.2","New York, NY",1001 to 5000 Employees,1977,Company - Public,Insurance Carriers,Insurance,Insurance
256,"Data Scientist, Level 1","$77,500 /yr (est.)",-1,Massachusetts Materials Technologies (MMT),"Natick, MA",-1,-1,-1,-1,-1,-1
257,"Data Scientist, NLP","$150,954 /yr (est.)",3.6,"Fetch
3.6","Madison, WI",501 to 1000 Employees,2013,Company - Private,Computer Hardware Development,Information Technology,Information Technology
258,USARPAC Data Scientist (Data Scientist 1)- 15568,"$95,507 /yr (est.)",3.6,"HII
3.6","Fort Shafter, HI",10000+ Employees,2011,Company - Public,Aerospace & Defense,Aerospace & Defense,Aerospace & Defense
259,"Staff Data Scientist, New Initiatives",-1,4.5,"Dropbox
4.5",Remote,1001 to 5000 Employees,2007,Company - Private,Computer Hardware Development,Information Technology,Information Technology
260,Data Scientist 4,-1,3.9,"Oracle
3.9",United States,10000+ Employees,1977,Company - Public,Enterprise Software & Network Solutions,Information Technology,Information Technology
261,Principle Data Scientist,-1,3.8,"SunPower
3.8",Remote,5001 to 10000 Employees,1985,Company - Public,Energy & Utilities,"Energy, Mining & Utilities","Energy, Mining & Utilities"
262,Sports Data Scientist,"$140,000 /yr (est.)",5.0,"Swish Analytics
5.0",Remote,1 to 50 Employees,2014,Company - Private,Gambling,"Arts, Entertainment & Recreation","Arts, Entertainment & Recreation"
263,Data Scientist,"$175,000 /yr (est.)",4.3,"Neuberger Berman
4.3","New York, NY",1001 to 5000 Employees,1939,Company - Public,Investment & Asset Management,Financial Services,Financial Services
264,Staff Data Scientist - Deep Learning,"$174,000 /yr (est.)",4.3,"GE Healthcare
4.3","San Ramon, CA",10000+ Employees,1892,Company - Public,Health Care Services & Hospitals,Healthcare,Healthcare
265,Data Scientist,$38.80 /hr (est.),3.9,"UCLA Health
3.9","Los Angeles, CA",5001 to 10000 Employees,1919,Company - Public,Health Care Services & Hospitals,Healthcare,Healthcare
266,"Data Scientist(RNAseq,Genomics,Omnics,Machine Learning,data analysis)",$51.50 /hr (est.),3.7,"Tellus Solutions
3.7",Remote,51 to 200 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,Information Technology
267,Data Collection Projects,-1,4.5,"Argos Multilingual
4.5",Remote,201 to 500 Employees,-1,Company - Private,Business Consulting,Management & Consulting,Management & Consulting
268,Genomics Data Scientist,"$112,500 /yr (est.)",3.1,"Avellino Lab USA Inc
3.1",Remote,51 to 200 Employees,2012,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Pharmaceutical & Biotechnology
269,Data Scientist,"$105,000 /yr (est.)",3.8,"Ascend Analytics, LLC
3.8","Boulder, CO",51 to 200 Employees,2003,Company - Private,Computer Hardware Development,Information Technology,Information Technology
270,Jr Data Scientist,"$89,745 /yr (est.)",3.9,"Veracity Software
3.9","Iselin, NJ",51 to 200 Employees,2010,Company - Private,Information Technology Support Services,Information Technology,Information Technology
271,AI Model Training: Seeking STEM topic experts for AI Projects (US),$42.50 /hr (est.),3.7,"Appen
3.7",Remote,501 to 1000 Employees,1996,Company - Public,Business Consulting,Management & Consulting,Management & Consulting
272,Associate Data Scientist,"$93,000 /yr (est.)",3.8,"Mutual of Omaha
3.8",Remote,5001 to 10000 Employees,1909,Company - Private,Insurance Carriers,Insurance,Insurance
273,Junior Data Scientist,"$90,000 /yr (est.)",3.2,"Club Quarters
3.2","Stamford, CT",501 to 1000 Employees,-1,Company - Private,Hotels & Resorts,Hotels & Travel Accommodation,Hotels & Travel Accommodation
274,"Data Scientist, Product Analytics","$164,000 /yr (est.)",3.9,"Meta
3.9","Austin, TX",10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology,Information Technology
275,Data Scientist III,"$171,067 /yr (est.)",3.9,"Uber Freight
3.9","San Francisco, CA",10000+ Employees,2009,Company - Public,Internet & Web Services,Information Technology,Information Technology
276,Data Scientist I,"$105,000 /yr (est.)",3.1,"Burlington Stores
3.1","Edgewater Park, NJ",10000+ Employees,1972,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,Retail & Wholesale
277,Associate Data Scientist,"$87,200 /yr (est.)",3.9,"Northwell Health
3.9","Manhasset, NY",10000+ Employees,1997,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,Healthcare
278,Genomics Data Scientist,"$112,500 /yr (est.)",3.1,"Avellino Lab USA Inc
3.1",Remote,51 to 200 Employees,2012,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Pharmaceutical & Biotechnology
279,"Data Scientist, NLP","$150,954 /yr (est.)",3.6,"Fetch
3.6","Madison, WI",501 to 1000 Employees,2013,Company - Private,Computer Hardware Development,Information Technology,Information Technology
280,Analyst - Data Science,"$80,000 /yr (est.)",4.2,"Amex
4.2","New York, NY",10000+ Employees,1850,Company - Public,Financial Transaction Processing,Financial Services,Financial Services
281,DATA SCIENTIST I,"$89,700 /yr (est.)",3.3,"UNFI
3.3","Providence, RI",10000+ Employees,1978,Company - Public,Wholesale,Retail & Wholesale,Retail & Wholesale
282,DATA SCIENTIST,"$110,383 /yr (est.)",3.2,"Durham County
3.2","Durham, NC",51 to 200 Employees,-1,Government,Municipal Agencies,Government & Public Administration,Government & Public Administration
283,Data Scientist,-1,3.8,"Revecore
3.8",Remote,Unknown,-1,Company - Public,Business Consulting,Management & Consulting,Management & Consulting
284,"Data Scientist, Level 1","$77,500 /yr (est.)",-1,Massachusetts Materials Technologies (MMT),"Natick, MA",-1,-1,-1,-1,-1,-1
285,Associate Data Scientist,-1,4.0,"Amadeus
4.0",United States,10000+ Employees,1987,Company - Public,Information Technology Support Services,Information Technology,Information Technology
286,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
287,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
288,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
289,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
290,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
291,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
294,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
295,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
296,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
297,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
298,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
299,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
301,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
302,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
303,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
304,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
305,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
306,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
307,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
308,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
309,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
310,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
311,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
312,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
313,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
314,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
315,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
316,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
317,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
318,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
319,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
320,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
321,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
322,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
323,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
324,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
325,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
326,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
327,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
328,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
329,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
330,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
331,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
332,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
334,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
335,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
337,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
338,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
339,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
340,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
341,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
342,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
343,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
344,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
345,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
346,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
347,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
348,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
349,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
350,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
351,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
352,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
